experiment,subexperiment,factor_name,factor_value,variant,metric,n,mean,std,median,ci95_low,ci95_high
Experiment1,A,H,1,Full RAP-GTV,NRMSE_U,20,0.0561287999027022,0.00827393373433649,0.058114508389854616,0.052502588561526405,0.05975501124387799
Experiment1,A,H,1,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,1,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,1,NoReliability,NRMSE_U,20,0.0561287999027022,0.00827393373433649,0.058114508389854616,0.052502588561526405,0.05975501124387799
Experiment1,A,H,1,NoReliability,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,1,NoReliability,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,16,Full RAP-GTV,NRMSE_U,20,0.05865886142971612,0.007591773719719576,0.05780530754093263,0.0553316198967266,0.061986102962705646
Experiment1,A,H,16,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,16,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,16,NoReliability,NRMSE_U,20,0.30492270708081176,0.012805112073962233,0.3045200818637781,0.2993106192736627,0.3105347948879608
Experiment1,A,H,16,NoReliability,Boundary_AUPRC,20,0.6104742667332189,0.07117531332512668,0.5996909478899215,0.5792803103059123,0.6416682231605255
Experiment1,A,H,16,NoReliability,ARI,20,0.9428736457609318,0.013938158411114536,0.9428580873420844,0.9367649785020029,0.9489823130198607
Experiment1,A,H,4,Full RAP-GTV,NRMSE_U,20,0.05380029141946974,0.006806839956903148,0.054642232099493135,0.05081706227577269,0.05678352056316678
Experiment1,A,H,4,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,4,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,4,NoReliability,NRMSE_U,20,0.0578404590888042,0.00667222585354776,0.05922686186597805,0.054916227177130385,0.06076469100047801
Experiment1,A,H,4,NoReliability,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,4,NoReliability,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,8,Full RAP-GTV,NRMSE_U,20,0.05503872028304145,0.0066752600620311785,0.056428732462652176,0.05211315857086798,0.057964281995214924
Experiment1,A,H,8,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,8,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,A,H,8,NoReliability,NRMSE_U,20,0.11548210237973602,0.006737572622211146,0.11423452083111123,0.11252923098396132,0.11843497377551072
Experiment1,A,H,8,NoReliability,Boundary_AUPRC,20,0.9993869970468807,0.001143760964360145,1.0,0.998885721702682,0.9998882723910795
Experiment1,A,H,8,NoReliability,ARI,20,0.9996348032073396,0.0016332097071068501,1.0,0.9989190174937252,1.0003505889209539
Experiment1,B1,eta_T,0,Full RAP-GTV,NRMSE_U,20,0.05705652097866204,0.006442948967586593,0.05668609265067448,0.05423277409271324,0.05988026786461084
Experiment1,B1,eta_T,0,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,0,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,0,GeometryOnly,NRMSE_U,20,0.0538147980374717,0.005401934480131377,0.053890063407614125,0.05144729586678725,0.056182300208156156
Experiment1,B1,eta_T,0,GeometryOnly,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,0,GeometryOnly,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,1,Full RAP-GTV,NRMSE_U,20,0.0561287999027022,0.00827393373433649,0.058114508389854616,0.052502588561526405,0.05975501124387799
Experiment1,B1,eta_T,1,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,1,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,1,GeometryOnly,NRMSE_U,20,0.0538147980374717,0.005401934480131377,0.053890063407614125,0.05144729586678725,0.056182300208156156
Experiment1,B1,eta_T,1,GeometryOnly,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,1,GeometryOnly,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,2,Full RAP-GTV,NRMSE_U,20,0.05615792871856985,0.00843086417262714,0.05812392091847063,0.05246293958035374,0.05985291785678597
Experiment1,B1,eta_T,2,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,2,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,2,GeometryOnly,NRMSE_U,20,0.0538147980374717,0.005401934480131377,0.053890063407614125,0.05144729586678725,0.056182300208156156
Experiment1,B1,eta_T,2,GeometryOnly,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B1,eta_T,2,GeometryOnly,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,0,Full RAP-GTV,NRMSE_U,20,0.05889514703510583,0.006816311574505755,0.05883365687936382,0.055907766771968785,0.061882527298242875
Experiment1,B2,eta_O,0,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,0,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,0,NoOptical,NRMSE_U,20,0.05705652097866204,0.006442948967586593,0.05668609265067448,0.05423277409271324,0.05988026786461084
Experiment1,B2,eta_O,0,NoOptical,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,0,NoOptical,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,1,Full RAP-GTV,NRMSE_U,20,0.057097071593795956,0.008110559559417531,0.057833634767852436,0.05354246214175396,0.06065168104583795
Experiment1,B2,eta_O,1,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,1,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,1,NoOptical,NRMSE_U,20,0.05705652097866204,0.006442948967586593,0.05668609265067448,0.05423277409271324,0.05988026786461084
Experiment1,B2,eta_O,1,NoOptical,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,1,NoOptical,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,2,Full RAP-GTV,NRMSE_U,20,0.05640392889295687,0.008877286005648273,0.057807975453209835,0.05251328675994679,0.06029457102596694
Experiment1,B2,eta_O,2,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,2,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,2,NoOptical,NRMSE_U,20,0.05705652097866204,0.006442948967586593,0.05668609265067448,0.05423277409271324,0.05988026786461084
Experiment1,B2,eta_O,2,NoOptical,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,B2,eta_O,2,NoOptical,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,0.5,Full RAP-GTV,NRMSE_U,20,0.21236697720869602,0.0312661791757538,0.21984162476727379,0.19866397001009595,0.2260699844072961
Experiment1,C,J,0.5,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,0.5,Full RAP-GTV,ARI,20,0.9389347309480378,0.07020868716549467,1.0,0.9081644171138774,0.9697050447821982
Experiment1,C,J,0.5,GraphLaplacian,NRMSE_U,20,0.1441429895219462,0.017411530205294824,0.142629012172739,0.1365120499562055,0.15177392908768692
Experiment1,C,J,0.5,GraphLaplacian,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,0.5,GraphLaplacian,ARI,20,0.9353454734382005,0.07536433365561725,1.0,0.9023155979041452,0.9683753489722559
Experiment1,C,J,1.0,Full RAP-GTV,NRMSE_U,20,0.11097022052739072,0.0163522043100085,0.11489275524396733,0.10380355100523848,0.11813689004954296
Experiment1,C,J,1.0,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,1.0,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,1.0,GraphLaplacian,NRMSE_U,20,0.08390205026409323,0.008861750862107519,0.08331894858748837,0.08001821670793463,0.08778588382025182
Experiment1,C,J,1.0,GraphLaplacian,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,1.0,GraphLaplacian,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,2.0,Full RAP-GTV,NRMSE_U,20,0.0561287999027022,0.00827393373433649,0.058114508389854616,0.052502588561526405,0.05975501124387799
Experiment1,C,J,2.0,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,2.0,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,2.0,GraphLaplacian,NRMSE_U,20,0.055735112347762975,0.011088728982329625,0.05412972048498847,0.050875262597205,0.06059496209832095
Experiment1,C,J,2.0,GraphLaplacian,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,2.0,GraphLaplacian,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,4.0,Full RAP-GTV,NRMSE_U,20,0.028143809843560262,0.004149314206537105,0.029139182447009384,0.02632529271289904,0.029962326974221486
Experiment1,C,J,4.0,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,4.0,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,4.0,GraphLaplacian,NRMSE_U,20,0.045176535071127635,0.014032192208211964,0.04276973545947382,0.039026655683550286,0.051326414458704984
Experiment1,C,J,4.0,GraphLaplacian,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,C,J,4.0,GraphLaplacian,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,D,target,combined,Full RAP-GTV,NRMSE_U,20,0.05793532226362467,0.007107259791988337,0.058684994107214714,0.05482042832201183,0.061050216205237505
Experiment1,D,target,combined,Full RAP-GTV,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,D,target,combined,Full RAP-GTV,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,D,target,combined,GeometryOnly,NRMSE_U,20,0.05394193369500305,0.00598038577294881,0.0532325209751873,0.05132091406748576,0.05656295332252034
Experiment1,D,target,combined,GeometryOnly,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,D,target,combined,GeometryOnly,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,D,target,combined,GraphLaplacian,NRMSE_U,20,0.0603441760891583,0.007626938224929882,0.059850322699929896,0.05700152303225588,0.06368682914606072
Experiment1,D,target,combined,GraphLaplacian,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,D,target,combined,GraphLaplacian,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,D,target,combined,NoOptical,NRMSE_U,20,0.05503872028304145,0.0066752600620311785,0.056428732462652176,0.05211315857086798,0.057964281995214924
Experiment1,D,target,combined,NoOptical,Boundary_AUPRC,20,1.0,0.0,1.0,1.0,1.0
Experiment1,D,target,combined,NoOptical,ARI,20,1.0,0.0,1.0,1.0,1.0
Experiment1,D,target,combined,NoReliability,NRMSE_U,20,0.1202005862889756,0.006579888300416426,0.12191354745388316,0.11731682309425462,0.12308434948369659
Experiment1,D,target,combined,NoReliability,Boundary_AUPRC,20,0.9990645933810537,0.001466544831282113,1.0,0.9984218517698333,0.999707334992274
Experiment1,D,target,combined,NoReliability,ARI,20,0.9996348032073396,0.0016332097071068501,1.0,0.9989190174937252,1.0003505889209539
