site,method,FDD_mean,FDD_sample_sd,FDD_unit,FI_mean,FI_sample_sd,rank_FDD,rank_FI,seed_count
Xiongba,Time2Feat-KM,0.00824526424904,0.0003380747573166,native_unknown,116.46666666666668,11.068222782161351,1,2,5
Xiongba,K-SC,0.0139052743806128,4.78444126967e-05,native_unknown,315.96666666666664,30.52467126040107,4,3,5
Xiongba,RAC-DMVC,0.0116837715389284,0.0002175931570861,native_unknown,415.9,42.18734670754043,3,4,5
Xiongba,RAP-GTV,0.008364032542209,7.8512277714e-06,native_unknown,50.9,0.1490711984999866,2,1,5
Offida,Time2Feat-KM,3.409368212197159,0.0178772626404605,millimetre,10.08,1.2049896265113655,2,2,5
Offida,K-SC,3.654493525480368,0.0264805545460183,millimetre,17.04,1.381303731986561,3,3,5
Offida,RAC-DMVC,3.8357257727652474,0.0090824326687894,millimetre,21.12,0.5403702434442522,4,4,5
Offida,RAP-GTV,3.3823778195488736,0.0287335268700027,millimetre,4.959999999999999,0.6985699678629192,1,1,5
Mendatica,Time2Feat-KM,3.055290357358024,0.00135573085793,millimetre,116.46666666666664,5.791996393491819,2,2,5
Mendatica,K-SC,3.104101975457397,0.0012355741462954,millimetre,160.23333333333332,3.402613374713288,4,4,5
Mendatica,RAC-DMVC,3.0925661920918275,0.005277312495063,millimetre,122.1,3.890158522905376,3,3,5
Mendatica,RAP-GTV,3.0327569521514404,0.0021440413850638,millimetre,49.53333333333334,0.8449194570424389,1,1,5
Zhouqu-Xieliupo,Time2Feat-KM,3.5415299343662268,0.0012170120731553,native_unknown,90.43999999999998,0.0894427190999865,2,2,5
Zhouqu-Xieliupo,K-SC,3.8159470084261513,0.0484405609835944,native_unknown,168.8,3.0430248109405835,4,3,5
Zhouqu-Xieliupo,RAC-DMVC,3.638279931555804,0.0100595137287183,native_unknown,612.08,47.0143807786511,3,4,5
Zhouqu-Xieliupo,RAP-GTV,3.398224649004405,0.1779660420231553,native_unknown,33.2,2.0591260281974013,1,1,5
